date,amount,payee,description,type
2026-01-05,50000,Employer Corp,Monthly salary credit,income
2026-01-07,-12000,Landlord,Monthly rent payment,expense
2026-01-08,-500,Swiggy,Food delivery order,expense
2026-01-10,-2500,Jio,Mobile recharge postpaid,expense
2026-01-10,-350,Uber,Cab ride to office,expense
2026-01-12,-1200,Amazon,Electronics purchase,expense
2026-01-15,-800,Big Bazaar,Grocery shopping,expense
2026-01-18,-300,Netflix,Monthly subscription,expense
2026-01-20,-450,Zomato,Restaurant order,expense
2026-01-22,-5000,Zerodha,SIP investment,expense
2026-01-25,-600,Apollo Pharmacy,Medicine purchase,expense
2026-01-28,-200,PVR,Movie tickets,expense
2026-01-30,-400,Petrol pump,Fuel refill,expense
2026-02-05,50000,Employer Corp,Monthly salary credit,income
2026-02-07,-12000,Landlord,Monthly rent payment,expense
2026-02-08,-650,Swiggy,Food delivery order,expense
2026-02-10,-2500,Jio,Mobile recharge postpaid,expense
2026-02-12,-1800,Flipkart,Shopping purchase,expense
2026-02-14,-2000,Restaurant,Valentine dinner,expense
2026-02-15,-900,Big Bazaar,Grocery shopping,expense
2026-02-18,-300,Netflix,Monthly subscription,expense
2026-02-20,-5000,Zerodha,SIP investment,expense
2026-02-22,-350,Uber,Cab ride,expense
2026-02-25,-1500,Practo,Doctor consultation,expense
2026-02-28,-400,Petrol pump,Fuel refill,expense
2026-03-05,50000,Employer Corp,Monthly salary credit,income
2026-03-07,-12000,Landlord,Monthly rent payment,expense
2026-03-08,-550,Zomato,Food delivery,expense
2026-03-10,-2500,Jio,Mobile recharge postpaid,expense
2026-03-12,-3500,Myntra,Clothes shopping,expense
2026-03-15,-850,DMart,Grocery shopping,expense
2026-03-18,-300,Netflix,Monthly subscription,expense
2026-03-20,-5000,Zerodha,SIP investment,expense
2026-03-22,-280,Ola,Cab ride,expense
2026-03-25,-800,Medical Store,Medicine purchase,expense
2026-03-28,-400,Petrol pump,Fuel refill,expense
2026-03-30,-1200,Electricity Board,Electricity bill payment,expense
2026-04-05,52000,Employer Corp,Monthly salary + bonus,income
2026-04-07,-12000,Landlord,Monthly rent payment,expense
2026-04-08,-700,Swiggy,Food delivery order,expense
2026-04-10,-2500,Jio,Mobile recharge postpaid,expense
2026-04-12,-4500,Amazon,Laptop accessories purchase,expense
2026-04-15,-900,Big Bazaar,Grocery shopping,expense
2026-04-18,-300,Spotify,Music subscription,expense
2026-04-20,-5000,Zerodha,SIP investment,expense
2026-04-25,-500,Uber,Cab rides,expense
2026-04-28,-400,Petrol pump,Fuel refill,expense
2026-05-05,50000,Employer Corp,Monthly salary credit,income
2026-05-07,-12000,Landlord,Monthly rent payment,expense
2026-05-10,-2500,Airtel,Mobile recharge,expense
2026-05-12,-2200,Flipkart,Shopping purchase,expense
2026-05-15,-750,Reliance Fresh,Grocery shopping,expense
2026-05-18,-300,Netflix,Monthly subscription,expense
2026-05-20,-5000,Groww,Mutual fund SIP,expense
2026-05-22,-600,Swiggy,Food orders,expense
2026-05-25,-350,Ola,Cab ride,expense
2026-05-28,-400,Petrol pump,Fuel refill,expense
2026-06-05,50000,Employer Corp,Monthly salary credit,income
2026-06-07,-12000,Landlord,Monthly rent payment,expense
2026-06-08,-450,Zomato,Food delivery,expense
2026-06-10,-2500,Jio,Mobile recharge,expense
2026-06-15,-1000,Big Bazaar,Grocery shopping,expense
2026-06-18,-300,Netflix,Monthly subscription,expense
2026-06-20,-5000,Zerodha,SIP investment,expense
2026-06-22,-800,Amazon,Books purchase,expense
2026-06-25,-400,Uber,Cab ride,expense
2026-06-28,-400,Petrol pump,Fuel refill,expense
